Model No,Make,Model,Variant,Ex_Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Speedometer,Seating_Capacity,Aux-in_Compatibility,Basic_Warranty,Handbrake,Sale_per_year,warranty,Model_year
31,Maruti Suzuki,Alto K10,Vxi,1271386,998 cc,3,35 litres,Petrol,14 km/litre,5,Ventilated Disc,Drum,155/65R13,155/65R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,6046,4,2010
32,Maruti Suzuki,Alto K10,Lx,1376271,998 cc,3,35 litres,Petrol,19 km/litre,5,Ventilated Disc,Drum,155/65R13,155/65R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7198,3,2010
33,Maruti Suzuki,Alto K10,Vxi (O),9017774,998 cc,3,35 litres,Petrol,14 km/litre,5,Ventilated Disc,Drum,155/65R13,155/65R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,9354,3,2010
34,Maruti Suzuki,Alto K10,Lxi Cng (O),9298379,998 cc,3,35 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,155/65R13,155/65R13,Analog,5,No,No Warranty,Manual,5031,4,2014
35,Maruti Suzuki,Alto K10,Vxi Amt (O),6191730,998 cc,3,35 litres,Petrol,14 km/litre,5,Ventilated Disc,Drum,155/65R13,155/65R13,Analog,5,No,No Warranty,Manual,9872,4,2018
36,Datsun,Go,D,6438089,1198 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,No,2 years / Unlimited Kms,Manual,4366,5,2020
37,Datsun,Go,T,8147959,1198 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,8306,5,2018
38,Datsun,Go,T (O),7629612,1198 cc,3,35 litres,Petrol,20.6 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,6159,4,2016
39,Datsun,Go,A (O),9773589,1198 cc,3,35 litres,Petrol,20.6 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,No,2 years / Unlimited Kms,Manual,8558,2,2017
40,Datsun,Go,A,8289617,1198 cc,3,35 litres,Petrol,20.6 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,No,2 years / Unlimited Kms,Manual,10071,5,2013
41,Datsun,Go,T Vdc,3479464,1198 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,9236,4,2017
42,Datsun,Go,T (O) Vdc,5749151,1198 cc,3,35 litres,Petrol,20.6 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,3946,5,2020
43,Datsun,Go,T Cvt,4193958,1198 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,2377,5,2019
44,Datsun,Go,T (O) Cvt,6711918,1198 cc,3,35 litres,Petrol,20.6 km/litre,5,Ventilated Disc,Drum,155/70R13,155/70R13,Analog,5,Yes,2 years / Unlimited Kms,Manual,6969,5,2011
45,Maruti Suzuki,Celerio Tour,H2,7075652,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80R13,155/80R13,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7239,4,2021
46,Maruti Suzuki,Celerio Tour,H2 Cng,1626971,998 cc,3,60 litres,CNG,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,9570,2,2016
47,Hyundai,Santro,Era Mt,6225518,1086 cc,4,35 litres,Petrol,23 km/litre,5,Drum,error,error,error,Analog,5,No,No Warranty,Manual,1397,2,2016
48,Hyundai,Santro,Magna Mt,6432526,1086 cc,4,35 litres,Petrol,23 km/litre,5,Drum,error,error,error,Analog,5,No,No Warranty,Manual,6301,3,2012
49,Hyundai,Santro,Magna Mt Cng,8483048,1086 cc,4,35 litres,CNG,23 km/litre,5,Drum,error,error,error,Digital,5,No,No Warranty,Manual,8179,3,2011
50,Hyundai,Santro,Magna Amt,4441814,1086 cc,4,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,155/80 R13,155/80 R13,Analog,5,Yes,No Warranty,Manual,4365,3,2015
51,Hyundai,Santro,Sportz Mt,3266470,1086 cc,4,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,165/70 R14,165/70 R14,Analog,5,Yes,No Warranty,Manual,1794,2,2020
52,Hyundai,Santro,Sportz Mt Cng,4472600,1086 cc,4,60 litres,CNG,23 km/litre,5,Solid Disc,Drum,165/70 R14,165/70 R14,Analog,5,Yes,No Warranty,Manual,7196,5,2021
53,Hyundai,Santro,Sportz Amt,2823648,1086 cc,4,35 litres,Petrol,23 km/litre,5,Solid Disc,Drum,165/70 R14,165/70 R14,Analog,5,Yes,No Warranty,Manual,7891,5,2013
54,Hyundai,Santro,Asta Mt,8367389,1086 cc,4,35 litres,Petrol,23 km/litre,5,Drum,error,error,error,Analog,5,Yes,No Warranty,Manual,1229,3,2018
55,Tata,Tiago,Revotron Xe,9408334,1199 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80 R13,155/80 R13,Analog,5,No,"2 Years / 75,000 KM (whichever is earlier)",Manual,10874,4,2011
56,Tata,Tiago,Revotron Xt,2699699,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Ventilated Disc,Drum,175/65 R14,175/65 R14,Analog,5,Yes,"2 Years / 75,000 KM (whichever is earlier)",Manual,10508,3,2020
57,Tata,Tiago,Revotron Xz,5206382,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Ventilated Disc,Drum,175/65 R14,175/65 R14,Analog,5,Yes,"2 Years / 75,000 KM (whichever is earlier)",Manual,7758,4,2011
58,Tata,Tiago,Revotron Xz Plus,7685305,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Ventilated Disc,Drum,175/65 R14,175/65 R14,Analog,5,Yes,"2 Years / 75,000 KM (whichever is earlier)",Manual,1042,5,2013
59,Tata,Tiago,Revotron Xz Plus Dual Tone,6503820,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Ventilated Disc,Drum,175/65 R14,175/65 R14,Analog,5,Yes,"2 Years / 75,000 KM (whichever is earlier)",Manual,8874,3,2016
60,Tata,Tiago,Revotron Xza,7231336,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Solid Disc,Drum,175 / 65 R14,175 / 65 R14,Analog,5,Yes,No Warranty,Manual,8361,2,2016
61,Tata,Tiago,Revotron Xza Plus,5848614,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Solid Disc,Drum,175/60 R15,175/60 R15,Analog,5,Yes,No Warranty,Manual,7762,5,2019
62,Tata,Tiago,Revotron Xza Plus Dual Tone,6767507,1199 cc,3,35 litres,Petrol,23.84 km/litre,5,Solid Disc,Drum,error,175/60 R15,Analog,5,Yes,No Warranty,Manual,4002,4,2014
63,Maruti Suzuki,Celerio X,Vxi (O),7651289,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,6162,3,2011
64,Maruti Suzuki,Celerio X,Vxi,7608242,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,5612,3,2012
65,Maruti Suzuki,Celerio X,Vxi Amt,7096656,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,5011,2,2012
66,Maruti Suzuki,Celerio X,Vxi Amt (O),8114153,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,No,2 years /40000 Kms (years/distance whichever comes first),Manual,7432,2,2020
67,Maruti Suzuki,Celerio X,Zxi,8503105,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,10746,2,2020
68,Maruti Suzuki,Celerio X,Zxi (O),4437301,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,5173,2,2013
69,Maruti Suzuki,Celerio X,Zxi Amt,6224948,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,5647,3,2017
70,Maruti Suzuki,Celerio X,Zxi Amt (O),7246821,998 cc,3,35 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/70R14,165/70R14,Analog,5,Yes,2 years /40000 Kms (years/distance whichever comes first),Manual,2061,4,2014
71,Maruti Suzuki,Ignis,Alpha 1.2 Amt,1903677,1197 cc,4,32 litres,Petrol,20.89 km/litre,4,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,Yes,No Warranty,Manual,8856,4,2016
72,Maruti Suzuki,Ignis,Alpha 1.2 Mt,3808439,1197 cc,4,32 litres,Petrol,20.89 km/litre,4,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,Yes,No Warranty,Manual,10308,4,2021
73,Maruti Suzuki,Ignis,Delta 1.2 Amt,5942191,1197 cc,4,32 litres,Petrol,20.89 km/litre,5,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,Yes,No Warranty,Manual,5584,3,2010
74,Maruti Suzuki,Ignis,Delta 1.2 Mt,9117728,1197 cc,4,32 litres,Petrol,20.89 km/litre,5,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,Yes,No Warranty,Manual,6545,5,2011
75,Maruti Suzuki,Ignis,Sigma 1.2 Mt,2405776,1197 cc,4,32 litres,Petrol,20.89 km/litre,4,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,No,No Warranty,Manual,5249,4,2021
76,Maruti Suzuki,Ignis,Zeta 1.2 Amt,8117100,1197 cc,4,32 litres,Petrol,15.1 km/litre,4,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,Yes,No Warranty,Manual,1712,5,2017
77,Maruti Suzuki,Ignis,Zeta 1.2 Mt,2656026,1197 cc,4,32 litres,Petrol,20.89 km/litre,4,Ventilated Disc,Drum,175/65R 15,175/65R 15,Analog,5,Yes,No Warranty,Manual,4022,5,2013
78,Renault,Triber,Rxe,2981250,999 cc,3,40 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R14,185/65 R14,"Analog, Digital",7,Yes,No Warranty,Manual,7031,4,2019
79,Renault,Triber,Rxl,6706126,999 cc,3,40 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R14,185/65 R14,"Analog, Digital",7,Yes,No Warranty,Manual,2662,2,2016
80,Renault,Triber,Rxt,9689100,999 cc,3,40 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R14,185/65 R14,"Digital, Analog",7,Yes,No Warranty,Manual,10280,3,2015
81,Renault,Triber,Rxz,3719655,999 cc,3,40 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R15,185/65 R15,"Analog, Digital",7,Yes,No Warranty,Manual,8574,2,2022
82,Premier,Rio,Gx,4132721,1173 cc,4,46 litres,Petrol,13 km/litre,5,Ventilated Disc,Drum,205/70R15,205/70R15,Analog,5,No,No Warranty,Manual,10880,4,2018
83,Premier,Rio,Ex,7398993,1489 cc,4,46 litres,Diesel,12 km/litre,5,Solid Disc,Drum,205/70,205/70,error,5,No,No Warranty,Manual,8608,2,2014
84,Premier,Rio,Glx,5555402,1173 cc,4,46 litres,Petrol,13 km/litre,5,Ventilated Disc,Drum,205/70R15,205/70R15,Analog,5,No,No Warranty,Manual,9343,2,2020
85,Premier,Rio,Dx,7846071,1489 cc,4,46 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,205/70R15,205/70R15,Analog,5,No,No Warranty,Manual,5546,2,2017
86,Premier,Rio,Lx,2484008,1489 cc,4,46 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,205/70R15,205/70R15,Analog,5,No,No Warranty,Manual,7874,4,2021
87,Premier,Rio,Crdi4,4486374,1248 cc,4,46 litres,Diesel,20 km/litre,5,Ventilated Disc,Drum,205/70R15,205/70R15,Analog,5,No,No Warranty,Manual,9639,4,2015
88,Toyota,Etios Liva,G,6617907,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,No,3 years /100000 Kms (years/distance whichever comes first),Manual,2148,3,2011
89,Toyota,Etios Liva,V,4267885,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,3573,5,2016
90,Toyota,Etios Liva,Gd,3204341,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,No,3 years /100000 Kms (years/distance whichever comes first),Manual,4734,3,2017
91,Toyota,Etios Liva,Vx,4377989,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,10151,2,2012
92,Toyota,Etios Liva,Vxd,1700070,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,6048,4,2014
93,Toyota,Etios Liva,Vd,8476718,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,6592,3,2022
94,Toyota,Etios Liva,Dual Tone V,7560074,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,7926,3,2011
95,Toyota,Etios Liva,Dual Tone Vd,3568851,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,4801,4,2016
96,Toyota,Etios Liva,Dual Tone Vx,9608146,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,3673,4,2021
97,Toyota,Etios Liva,Dual Tone Vxd,1286831,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,9626,4,2015
98,Toyota,Etios Liva,Gx,7763794,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,No,3 years /100000 Kms (years/distance whichever comes first),Manual,2380,4,2014
99,Toyota,Etios Liva,Gxd,9994211,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,175/65R14,175/65R14,Analog,5,No,3 years /100000 Kms (years/distance whichever comes first),Manual,7161,3,2020
100,Toyota,Etios Liva,Vx Dual Tone Limited Edition,8031875,1197 cc,4,45 litres,Petrol,15.1 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,7347,3,2021
101,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,3659484,1364 cc,4,45 litres,Diesel,20.3 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,3540,2,2016
102,Nissan,Micra Active,Xl,7754884,1198 cc,3,41 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80 R13,155/80 R13,Analog,5,No,24 months /50000 Kms (whichever comes first),Manual,7222,3,2021
103,Nissan,Micra Active,Xv,3380111,1198 cc,3,41 litres,Petrol,19.49 km/litre,5,Ventilated Disc,Drum,155/80R13,155/80R13,Analog,5,Yes,24 months /50000 Kms (whichever comes first),Manual,4542,2,2019
104,Nissan,Micra Active,Xl (O),7027389,1198 cc,3,41 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,155/80 R13,155/80 R13,Analog,5,Yes,24 months /50000 Kms (whichever comes first),Manual,8930,5,2012
105,Tata,Bolt,Xt Diesel,4709194,1248 cc,4,44 litres,Diesel,"22,95 km/litre",5,Solid Disc,Drum,175/65 R15,175/65 R15,Analog,5,Yes,No Warranty,Manual,9947,3,2010
106,Tata,Bolt,Xe Diesel,6307657,1248 cc,4,44 litres,Diesel,"22,95 km/litre",5,Solid Disc,Drum,175/65 R14,175/65 R14,Analog,5,No,2 years /75000 Kms (years/distance whichever comes first),Manual,5195,5,2019
107,Tata,Bolt,Xm Diesel,7417030,1248 cc,4,44 litres,Diesel,"22,95 km/litre",5,Solid Disc,Drum,175/65 R14,175/65 R14,Analog,5,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,8920,5,2012
108,Tata,Bolt,Xms Diesel,9657212,1248 cc,4,44 litres,Diesel,"22,95 km/litre",5,Solid Disc,Drum,175/65 R14,175/65 R14,Analog,5,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,9828,2,2015
109,Tata,Bolt,Xt Petrol,7290542,1193 cc,4,44 litres,Petrol,"17,57 km/litre",5,Solid Disc,Drum,175/65 R15,175/65 R15,Analog,5,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,1325,2,2011
110,Tata,Bolt,Xe Petrol,5868322,1193 cc,4,44 litres,Petrol,"17,57 km/litre",5,Solid Disc,Drum,175/65 R14,175/65 R14,Analog,5,No,2 years /75000 Kms (years/distance whichever comes first),Manual,8696,2,2019
111,Tata,Bolt,Xm Petrol,7027385,1193 cc,4,44 litres,Petrol,"17,57 km/litre",5,Solid Disc,Drum,175 / 65 R14,175 / 65 R14,Analog,5,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,1058,2,2011
112,Tata,Bolt,Xms Petrol,1874375,1193 cc,4,44 litres,Petrol,"17,57 km/litre",5,Solid Disc,Drum,175 / 65 R14,175 / 65 R14,Analog,5,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,3038,4,2011
113,Hyundai,Xcent Prime,Cng T + (Cng +,8404728,1197 cc,4,43 litres,CNG + Petrol,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,No Warranty,Manual,3820,5,2016
114,Hyundai,Xcent Prime,T,6053421,1197 cc,4,43 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,No Warranty,Manual,8843,2,2017
115,Hyundai,Xcent Prime,T+,1631515,1197 cc,4,43 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,No Warranty,Manual,2215,3,2013
116,Hyundai,Xcent Prime,Cng T (Cng +,4914250,1197 cc,4,43 litres,CNG + Petrol,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,No Warranty,Manual,6290,3,2011
117,Hyundai,Xcent Prime,T+ Crdi,5039718,1197 cc,4,43 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,No Warranty,Manual,2416,2,2018
118,Hyundai,Xcent Prime,T Crdi,2359058,1197 cc,4,43 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,165/65R14,165/65R14,Analog,5,No,No Warranty,Manual,5322,5,2018
